id,label_original,origin_score,label_unmatch,unmatch_score
61,baseball,29.773361206054688,spoonbill,18.83807945251465
62,acorn squash,31.27562713623047,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",20.353609085083008
63,orange,29.350149154663086,eft,22.288557052612305
64,"horse cart, horse-cart",29.907798767089844,paintbrush,19.01205062866211
65,bubble,25.598533630371094,"pajama, pyjama, pj's, jammies",20.178096771240234
66,"cello, violoncello",32.48759078979492,kite,23.833786010742188
67,coffee mug,28.381122589111328,West Highland white terrier,17.72304916381836
68,"church, church building",28.29286003112793,"red fox, Vulpes vulpes",14.890939712524414
69,"motor scooter, scooter",28.418455123901367,"hognose snake, puff adder, sand viper",11.233898162841797
70,"brassiere, bra, bandeau",24.798908233642578,"airship, dirigible",21.909448623657227
71,folding chair,33.475738525390625,agaric,21.617691040039062
72,spaghetti squash,32.44896697998047,cloak,23.702289581298828
73,"ostrich, Struthio camelus",33.421695709228516,triumphal arch,21.112829208374023
74,"streetcar, tram, tramcar, trolley, trolley car",32.66875457763672,"Scotch terrier, Scottish terrier, Scottie",18.723907470703125
75,viaduct,29.943058013916016,"cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM",17.89440155029297
76,"saltshaker, salt shaker",27.090499877929688,bookcase,19.941076278686523
77,screwdriver,22.685989379882812,"wolf spider, hunting spider",14.403762817382812
78,"screen, CRT screen",30.491954803466797,curly-coated retriever,12.72116756439209
79,"grand piano, grand",25.657135009765625,"microwave, microwave oven",17.11924934387207
80,"pick, plectrum, plectron",28.1116943359375,shower cap,22.722515106201172
81,"dhole, Cuon alpinus",33.31757736206055,"garden spider, Aranea diademata",12.772394180297852
82,"albatross, mollymawk",33.913394927978516,barber chair,18.78870391845703
83,French bulldog,27.01986312866211,"horse cart, horse-cart",17.916723251342773
84,"remote control, remote",31.675559997558594,macaw,16.968416213989258
85,"Newfoundland, Newfoundland dog",21.592243194580078,volleyball,18.501983642578125
86,"lycaenid, lycaenid butterfly",32.117889404296875,"doormat, welcome mat",20.282047271728516
87,"Cardigan, Cardigan Welsh corgi",32.24870300292969,"seashore, coast, seacoast, sea-coast",17.228185653686523
88,stove,28.027870178222656,"great grey owl, great gray owl, Strix nebulosa",14.559774398803711
89,oxcart,33.160850524902344,"upright, upright piano",20.40411949157715
90,coral reef,31.915369033813477,espresso,16.448089599609375
91,flamingo,28.969356536865234,maillot,21.65032958984375
92,coucal,35.4669189453125,otter,16.47950553894043
93,knee pad,32.632423400878906,"bobsled, bobsleigh, bob",19.485836029052734
94,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",31.671432495117188,"diamondback, diamondback rattlesnake, Crotalus adamanteus",10.637687683105469
95,"skunk, polecat, wood pussy",31.27634620666504,"sandbar, sand bar",16.542076110839844
96,kimono,27.23775863647461,"picket fence, paling",18.959125518798828
97,goblet,28.37264633178711,"bakery, bakeshop, bakehouse",19.248714447021484
98,bee eater,35.171566009521484,"black widow, Latrodectus mactans",14.899530410766602
99,"long-horned beetle, longicorn, longicorn beetle",32.74711227416992,cauliflower,18.79901123046875
